row		date			in World	in Iran		Linking In		PageView	Daily Time	Bounce rate
-----------------------------------------------------------------------------------------------
01		2020/04/05		287,568		6,888		17				7.9			31:37		9.1%
02		2020/04/15		261,739		5,836		17				8.8			34:50		9.6%
03		2020/05/19		225,250		7,025		19				10			36:41		9.2%
04		2020/08/24		178,552		4,664		70				14			39:43		6.8%
05		2020/09/21		177,518		5,569		72				15			36:21		7.9%
06		2021/01/11		215,741		6,095		66				16			42:13		8.4%
07		2021/04/01		211,947		4,609		66				11			35:06		8.4%
08		2021/04/13		199,933		4,014		66				12			33:40		8.4%
09		2021/07/07		178,950		4,539		66				12			44:10		7.3%
